SUBJECT,ENTRIES,7,6,5,4,3,2,1,P,N,Average (School),Average (Worldwide)
English,102,4,46,43,9,,,,,,5.44,4.56
French,7,1,1,3,2,,,,,,5.14,5.15
German,6,,4,2,,,,,,,5.67,5.67
Latin,8,,4,1,3,,,,,,5.13,4.43
Spanish,9,3,3,3,,,,,,,6.00,5.31
Economics,120,39,48,24,9,,,,,,5.98,5.11
Geography,59,18,25,14,2,,,,,,6.00,5.25
Global Politics,39,11,22,6,,,,,,,6.13,5.11
History,30,3,20,6,,1,,,,,5.83,4.33
Philosophy,20,1,11,5,2,1,,,,,5.45,4.98
Psychology,79,7,51,18,2,,,,,1,5.81,4.78
Biology,83,12,27,32,11,1,,,,,5.46,4.39
Chemistry,81,8,25,27,18,2,1,,,,5.20,4.56
Computer Science,48,11,20,12,2,3,,,,,5.71,4.41
DT,,,,,,,,,,,,4.66
Physics,37,10,9,11,7,,,,,,5.59,4.80
Sports Science,26,8,14,3,1,,,,,,6.12,4.77
Mathematics,71,14,16,26,12,2,,,,1,5.40,4.87
Music,4,4,,,,,,,,,7.00,4.78
Theatre Arts,4,,2,2,,,,,,,5.50,5.00
Visual Arts,4,,3,1,,,,,,,5.75,4.39
TOTALS,837,154,351,239,81,9,1,,,2,,